timestamp,pod_status,restart_count,note
2025-07-09 16:21:10,Running,0,monitoring
2025-07-09 16:21:11,Running,0,monitoring
2025-07-09 16:21:12,Running,0,monitoring
2025-07-09 16:21:13,Running,0,monitoring
2025-07-09 16:21:14,Running,0,monitoring
2025-07-09 16:21:15,Running,0,monitoring
2025-07-09 16:21:17,Running,0,monitoring
2025-07-09 16:21:18,Running,0,monitoring
2025-07-09 16:21:19,Running,0,monitoring
2025-07-09 16:21:20,Running,0,monitoring
2025-07-09 16:21:21,Running,0,monitoring
2025-07-09 16:21:22,Running,0,monitoring
2025-07-09 16:21:23,Running,0,monitoring
2025-07-09 16:21:24,Running,0,monitoring
2025-07-09 16:21:25,Running,0,monitoring
2025-07-09 16:21:26,Running,0,monitoring
2025-07-09 16:21:28,Running,0,monitoring
2025-07-09 16:21:29,Running,0,monitoring
2025-07-09 16:21:30,Running,0,monitoring
2025-07-09 16:21:31,Running,0,monitoring
2025-07-09 16:21:32,Running,0,monitoring
2025-07-09 16:21:33,Running,0,monitoring
2025-07-09 16:21:34,Running,0,monitoring
2025-07-09 16:21:35,Running,0,monitoring
2025-07-09 16:21:36,Running,0,monitoring
2025-07-09 16:21:37,Running,0,monitoring
2025-07-09 16:21:39,Running,0,monitoring
2025-07-09 16:21:40,Running,0,monitoring
2025-07-09 16:21:41,Running,0,monitoring
2025-07-09 16:21:42,Running,0,monitoring
2025-07-09 16:21:43,Running,0,monitoring
2025-07-09 16:21:44,Running,0,monitoring
2025-07-09 16:21:45,Running,0,monitoring
2025-07-09 16:21:46,Running,0,monitoring
2025-07-09 16:21:47,Running,0,monitoring
2025-07-09 16:21:48,Running,0,monitoring
2025-07-09 16:21:49,Running,0,monitoring
2025-07-09 16:21:51,Running,0,monitoring
2025-07-09 16:21:52,Running,0,monitoring
2025-07-09 16:21:53,Running,0,monitoring
2025-07-09 16:21:54,Running,0,monitoring
2025-07-09 16:21:55,Running,0,monitoring
2025-07-09 16:21:56,Running,0,monitoring
2025-07-09 16:21:57,Running,0,monitoring
2025-07-09 16:21:58,Running,0,monitoring
2025-07-09 16:21:59,Running,0,monitoring
2025-07-09 16:22:00,Running,0,monitoring
2025-07-09 16:22:02,Running,0,monitoring
2025-07-09 16:22:03,Running,0,monitoring
2025-07-09 16:22:04,Running,0,monitoring
2025-07-09 16:22:05,Running,0,monitoring
2025-07-09 16:22:06,Running,0,monitoring
2025-07-09 16:22:07,Running,0,monitoring
2025-07-09 16:22:08,Running,0,monitoring
2025-07-09 16:22:09,Running,0,monitoring
2025-07-09 16:22:10,Running,0,monitoring
2025-07-09 16:22:11,Running,0,monitoring
2025-07-09 16:22:13,Running,0,monitoring
2025-07-09 16:22:14,Running,0,monitoring
2025-07-09 16:22:15,Running,0,monitoring
2025-07-09 16:22:16,Running,0,monitoring
2025-07-09 16:22:17,Running,0,monitoring
2025-07-09 16:22:18,Running,0,monitoring
2025-07-09 16:22:19,Running,0,monitoring
2025-07-09 16:22:20,Running,0,monitoring
2025-07-09 16:22:21,Running,0,monitoring
2025-07-09 16:22:22,Running,0,monitoring
2025-07-09 16:22:24,Running,0,monitoring
2025-07-09 16:22:25,Running,0,monitoring
2025-07-09 16:22:26,Running,0,monitoring
2025-07-09 16:22:27,Running,0,monitoring
2025-07-09 16:22:28,Running,0,monitoring
2025-07-09 16:22:29,Running,0,monitoring
2025-07-09 16:22:30,Running,0,monitoring
2025-07-09 16:22:31,Running,0,monitoring
2025-07-09 16:22:32,Running,0,monitoring
2025-07-09 16:22:33,Running,0,monitoring
2025-07-09 16:22:34,Running,0,monitoring
2025-07-09 16:22:36,Running,0,monitoring
2025-07-09 16:22:37,Running,0,monitoring
2025-07-09 16:22:38,Running,0,monitoring
2025-07-09 16:22:39,Running,0,monitoring
2025-07-09 16:22:40,Running,0,monitoring
2025-07-09 16:22:41,Running,0,monitoring
2025-07-09 16:22:42,Running,0,monitoring
2025-07-09 16:22:43,Running,0,monitoring
2025-07-09 16:22:44,Running,0,monitoring
2025-07-09 16:22:45,Running,0,monitoring
2025-07-09 16:22:47,Running,0,monitoring
2025-07-09 16:22:48,Running,0,monitoring
2025-07-09 16:22:49,Running,0,monitoring
2025-07-09 16:22:50,Running,0,monitoring
2025-07-09 16:22:51,Running,0,monitoring
2025-07-09 16:22:52,Running,0,monitoring
2025-07-09 16:22:53,Running,0,monitoring
2025-07-09 16:22:54,Running,0,monitoring
2025-07-09 16:22:55,Running,0,monitoring
2025-07-09 16:22:56,Running,0,monitoring
2025-07-09 16:22:57,Running,0,monitoring
2025-07-09 16:22:59,Running,0,monitoring
2025-07-09 16:23:00,Running,0,monitoring
2025-07-09 16:23:01,Running,0,monitoring
2025-07-09 16:23:02,Running,0,monitoring
2025-07-09 16:23:03,Running,0,monitoring
2025-07-09 16:23:04,Running,0,monitoring
2025-07-09 16:23:05,Running,0,monitoring
2025-07-09 16:23:06,Running,0,monitoring
2025-07-09 16:23:07,Running,0,monitoring
2025-07-09 16:23:08,Running,0,monitoring
2025-07-09 16:23:10,Running,0,monitoring
2025-07-09 16:23:11,Running,0,monitoring
2025-07-09 16:23:12,Running,0,monitoring
2025-07-09 16:23:13,Running,0,monitoring
2025-07-09 16:23:14,Running,0,monitoring
